u,x1,x2,x3
-1,0.336,0.068552,3.92166
-1,0.335,0.0688875,3.92172
-1,0.334,0.069222,3.92179
-1,0.333,0.0695555,3.92186
-1,0.332,0.069888,3.92193
-1,0.331,0.0702195,3.922
-1,0.33,0.07055,3.92207
-1,0.329,0.0708795,3.92214
-1,0.328,0.071208,3.92221
-1,0.327,0.0715355,3.92229
-1,0.326,0.071862,3.92236
-1,0.325,0.0721875,3.92243
-1,0.324,0.072512,3.9225
-1,0.323,0.0728355,3.92257
-1,0.322,0.073158,3.92265
-1,0.321,0.0734795,3.92272
-1,0.32,0.0738,3.92279
-1,0.319,0.0741195,3.92287
-1,0.318,0.074438,3.92294
-1,0.317,0.0747555,3.92302
-1,0.316,0.075072,3.92309
-1,0.315,0.0753875,3.92317
-1,0.314,0.075702,3.92324
-1,0.313,0.0760155,3.92332
-1,0.312,0.076328,3.9234
-1,0.311,0.0766395,3.92347
-1,0.31,0.07695,3.92355
-1,0.309,0.0772595,3.92363
-1,0.308,0.077568,3.9237
-1,0.307,0.0778755,3.92378
-1,0.306,0.078182,3.92386
-1,0.305,0.0784875,3.92394
-1,0.304,0.078792,3.92402
-1,0.303,0.0790955,3.92409
-1,0.302,0.079398,3.92417
-1,0.301,0.0796995,3.92425
-1,0.3,0.08,3.92433
-1,0.299,0.0802995,3.92441
-1,0.298,0.080598,3.92449
-1,0.297,0.0808955,3.92457
-1,0.296,0.081192,3.92466
-1,0.295,0.0814875,3.92474
-1,0.294,0.081782,3.92482
-1,0.293,0.0820755,3.9249
-1,0.292,0.082368,3.92498
-1,0.291,0.0826595,3.92507
-1,0.29,0.08295,3.92515
-1,0.289,0.0832395,3.92523
-1,0.288,0.083528,3.92531
-1,0.287,0.0838155,3.9254
-1,0.286,0.084102,3.92548
-1,0.285,0.0843875,3.92557
-1,0.284,0.084672,3.92565
-1,0.283,0.0849555,3.92574
-1,0.282,0.085238,3.92582
-1,0.281,0.0855195,3.92591
-1,0.28,0.0858,3.92599
-1,0.279,0.0860795,3.92608
-1,0.278,0.086358,3.92616
-1,0.277,0.0866355,3.92625
-1,0.276,0.086912,3.92634
-1,0.275,0.0871875,3.92642
-1,0.274,0.087462,3.92651
-1,0.273,0.0877355,3.9266
-1,0.272,0.088008,3.92669
-1,0.271,0.0882795,3.92678
-1,0.27,0.08855,3.92686
-1,0.269,0.0888195,3.92695
-1,0.268,0.089088,3.92704
-1,0.267,0.0893555,3.92713
-1,0.266,0.089622,3.92722
-1,0.265,0.0898875,3.92731
-1,0.264,0.090152,3.9274
-1,0.263,0.0904155,3.92749
-1,0.262,0.090678,3.92758
-1,0.261,0.0909395,3.92767
-1,0.26,0.0912,3.92776
-1,0.259,0.0914595,3.92785
-1,0.258,0.091718,3.92795
-1,0.257,0.0919755,3.92804
-1,0.256,0.092232,3.92813
-1,0.255,0.0924875,3.92822
-1,0.254,0.092742,3.92831
-1,0.253,0.0929955,3.92841
-1,0.252,0.093248,3.9285
-1,0.251,0.0934995,3.92859
-1,0.25,0.09375,3.92869
-1,0.249,0.0939995,3.92878
-1,0.248,0.094248,3.92888
-1,0.247,0.0944955,3.92897
-1,0.246,0.094742,3.92906
-1,0.245,0.0949875,3.92916
-1,0.244,0.095232,3.92925
-1,0.243,0.0954755,3.92935
-1,0.242,0.095718,3.92945
-1,0.241,0.0959595,3.92954
-1,0.24,0.0962,3.92964
-1,0.239,0.0964395,3.92973
-1,0.238,0.096678,3.92983
-1,0.237,0.0969155,3.92993
-1,0.236,0.097152,3.93002
-1,0.235,0.0973875,3.93012
-1,0.234,0.097622,3.93022
-1,0.233,0.0978555,3.93032
-1,0.232,0.098088,3.93041
-1,0.231,0.0983195,3.93051
-1,0.23,0.09855,3.93061
-1,0.229,0.0987795,3.93071
-1,0.228,0.099008,3.93081
-1,0.227,0.0992355,3.93091
-1,0.226,0.099462,3.93101
-1,0.225,0.0996875,3.93111
-1,0.224,0.099912,3.93121
-1,0.223,0.100136,3.93131
